line_id,file_path,line_number,original_line,translated_line
line_1,.env.example,2,# GCLI2API 环境变量配置示例文件,# GCLI2API $id_1
line_2,.env.example,3,# 复制此文件为 .env 并根据需要修改配置值,# $id_3 .env $id_2
line_3,.env.example,7,# 服务器配置,# $id_4
line_4,.env.example,10,# 服务器监听地址,# $id_5
line_5,.env.example,11,# 默认: 0.0.0.0 (监听所有网络接口),# $id_7: 0.0.0.0 ($id_6)
line_6,.env.example,14,# 服务器端口,# $id_8
line_7,.env.example,15,# 默认: 7861,# $id_7: 7861
line_8,.env.example,19,# 密码配置 (支持分离密码),# $id_10 ($id_9)
line_9,.env.example,22,# 聊天API访问密码 (用于OpenAI和Gemini API端点认证),# $id_13API$id_12 ($id_14OpenAI$id_15Gemini API$id_11)
line_10,.env.example,23,# 默认: 继承通用密码或 pwd,# $id_7: $id_16 pwd
line_11,.env.example,26,# 控制面板访问密码 (用于Web界面登录认证),# $id_17 ($id_14Web$id_18)
line_12,.env.example,27,# 默认: 继承通用密码或 pwd,# $id_7: $id_16 pwd
line_13,.env.example,30,# 通用访问密码 (兼容性保留),# $id_19 ($id_20)
line_14,.env.example,31,# 设置后会覆盖上述两个专用密码，优先级最高,# $id_21
line_15,.env.example,32,# 如果只想使用一个密码，设置此项即可,# $id_22
line_16,.env.example,33,# 默认: pwd,# $id_7: pwd
line_17,.env.example,37,# 存储配置,# $id_23
line_18,.env.example,40,# 存储后端优先级: MongoDB > 本地sqlite文件存储,# $id_24: MongoDB > $id_26sqlite$id_25
line_19,.env.example,41,# 系统会自动选择可用的最高优先级存储后端,# $id_27
line_20,.env.example,43,# MongoDB 分布式存储模式配置 (第二优先级),# MongoDB $id_28 ($id_29)
line_21,.env.example,44,# 设置 MONGODB_URI 后自动启用 MongoDB 模式，不再使用本地文件存储,# $id_32 MONGODB_URI $id_31 MongoDB $id_30
line_22,.env.example,46,# MongoDB 连接字符串 (设置后启用 MongoDB 分布式存储模式),# MongoDB $id_34 ($id_35 MongoDB $id_33)
line_23,.env.example,47,# 本地 MongoDB: mongodb://localhost:27017,# $id_26 MongoDB: mongodb://localhost:27017
line_24,.env.example,48,# 带认证: mongodb://admin:password@localhost:27017/admin,# $id_36: mongodb://admin:password@localhost:27017/admin
line_25,.env.example,50,"# 副本集: mongodb://host1:27017,host2:27017,host3:27017/gcli2api?replicaSet=rs0","# $id_37: mongodb://host1:27017,host2:27017,host3:27017/gcli2api?replicaSet=rs0"
line_26,.env.example,51,# 默认: 无 (使用本地文件存储),# $id_7: $id_39 ($id_38)
line_27,.env.example,54,# MongoDB 数据库名称 (仅在启用 MongoDB 模式时有效),# MongoDB $id_40 ($id_42 MongoDB $id_41)
line_28,.env.example,55,# 默认: gcli2api,# $id_7: gcli2api
line_29,.env.example,59,# Google API 配置,# Google API $id_43
line_30,.env.example,62,# 凭证文件目录 (仅在文件存储模式下使用),# $id_45 ($id_44)
line_31,.env.example,63,# 默认: ./creds,# $id_7: ./creds
line_32,.env.example,66,# 是否自动从环境变量加载凭证,# $id_46
line_33,.env.example,67,# 默认: false,# $id_7: false
line_34,.env.example,70,# Google 凭证环境变量配置 (可选，通过 GCLI_CREDS_* 环境变量提供凭证),# Google $id_48 ($id_49 GCLI_CREDS_* $id_47)
line_35,.env.example,71,# 支持编号格式和项目名格式,# $id_50
line_36,.env.example,77,# 凭证轮换配置,# $id_51
line_37,.env.example,80,# 每个凭证使用多少次调用后轮换到下一个,# $id_52
line_38,.env.example,81,# 默认: 100,# $id_7: 100
line_39,.env.example,84,# 代理配置 (可选),# $id_53 ($id_54)
line_40,.env.example,85,"# 支持 http, https, socks5 代理","# $id_56 http, https, socks5 $id_55"
line_41,.env.example,86,"# 格式: http://proxy:port, https://proxy:port, socks5://proxy:port","# $id_57: http://proxy:port, https://proxy:port, socks5://proxy:port"
line_42,.env.example,89,# Google API 代理 URL 配置 (可选),# Google API $id_55 URL $id_43 ($id_54)
line_43,.env.example,91,# Google Code Assist API 端点,# Google Code Assist API $id_58
line_44,.env.example,92,# 默认: https://cloudcode-pa.googleapis.com,# $id_7: https://cloudcode-pa.googleapis.com
line_45,.env.example,94,# 用于Google OAuth2认证的代理URL,# $id_14Google OAuth2$id_59URL
line_46,.env.example,95,# 默认: https://oauth2.googleapis.com,# $id_7: https://oauth2.googleapis.com
line_47,.env.example,98,# 用于Google APIs调用的代理URL,# $id_14Google APIs$id_60URL
line_48,.env.example,99,# 默认: https://www.googleapis.com,# $id_7: https://www.googleapis.com
line_49,.env.example,102,# 用于Google Cloud Resource Manager API的URL,# $id_14Google Cloud Resource Manager API$id_61URL
line_50,.env.example,103,# 默认: https://cloudresourcemanager.googleapis.com,# $id_7: https://cloudresourcemanager.googleapis.com
line_51,.env.example,106,# 用于Google Cloud Service Usage API的URL,# $id_14Google Cloud Service Usage API$id_61URL
line_52,.env.example,107,# 默认: https://serviceusage.googleapis.com,# $id_7: https://serviceusage.googleapis.com
line_53,.env.example,110,# 用于Google Antigravity API的URL (反重力模式),# $id_14Google Antigravity API$id_61URL ($id_62)
line_54,.env.example,111,# 默认: https://daily-cloudcode-pa.sandbox.googleapis.com,# $id_7: https://daily-cloudcode-pa.sandbox.googleapis.com
line_55,.env.example,115,# 错误处理和重试配置,# $id_63
line_56,.env.example,118,# 是否启用自动封禁功能,# $id_64
line_57,.env.example,119,# 当凭证返回特定错误码时自动禁用该凭证,# $id_65
line_58,.env.example,120,# 默认: false,# $id_7: false
line_59,.env.example,123,# 自动封禁的错误码列表 (逗号分隔),# $id_66 ($id_67)
line_60,.env.example,124,"# 默认: 400,403","# $id_7: 400,403"
line_61,.env.example,127,# 是否启用 429 错误重试,# $id_69 429 $id_68
line_62,.env.example,128,# 默认: true,# $id_7: true
line_63,.env.example,131,# 429 错误最大重试次数,# 429 $id_70
line_64,.env.example,132,# 默认: 5,# $id_7: 5
line_65,.env.example,135,# 429 错误重试间隔 (秒),# 429 $id_71 ($id_72)
line_66,.env.example,136,# 默认: 1,# $id_7: 1
line_67,.env.example,140,# 日志配置,# $id_73
line_68,.env.example,143,# 日志级别,# $id_74
line_69,.env.example,144,"# 可选值: debug, info, warning, error, critical","# $id_75: debug, info, warning, error, critical"
line_70,.env.example,145,# 默认: info,# $id_7: info
line_71,.env.example,148,# 日志文件路径,# $id_76
line_72,.env.example,149,# 默认: log.txt,# $id_7: log.txt
line_73,.env.example,153,# 高级功能配置,# $id_77
line_74,.env.example,156,# 流式抗截断最大尝试次数,# $id_78
line_75,.env.example,157,"# 用于 ""流式抗截断/"" 前缀的模型","# $id_14 ""$id_80/"" $id_79"
line_76,.env.example,158,# 默认: 3,# $id_7: 3
line_77,.env.example,162,# 环境变量使用说明,# $id_81
line_78,.env.example,165,# 1. 存储模式配置 (按优先级自动选择):,# 1. $id_83 ($id_82):
line_79,.env.example,166,#    - Redis 分布式模式 (最高优先级): 设置 REDIS_URI，数据存储在 Redis 数据库，性能最佳,#    - Redis $id_87 ($id_86): $id_32 REDIS_URI$id_85 Redis $id_84
line_80,.env.example,167,#    - MongoDB 分布式模式 (第二优先级): 设置 MONGODB_URI，数据存储在 MongoDB 数据库,#    - MongoDB $id_87 ($id_29): $id_32 MONGODB_URI$id_85 MongoDB $id_88
line_81,.env.example,168,#    - 文件存储模式 (默认): 不设置上述 URI，数据存储在本地 creds/ 目录,#    - $id_90 ($id_7): $id_91 URI$id_89 creds/ $id_92
line_82,.env.example,169,#    - 自动切换: 系统根据可用的存储配置自动选择最高优先级的存储后端,#    - $id_94: $id_93
line_83,.env.example,171,# 2. 凭证配置方式 (三选一):,# 2. $id_95 ($id_96):
line_84,.env.example,172,#    a) 将 Google 凭证 JSON 文件放在 CREDENTIALS_DIR 目录中 (仅文件模式),#    a) $id_101 Google $id_100 JSON $id_98 CREDENTIALS_DIR $id_99 ($id_97)
line_85,.env.example,173,#    b) 设置 AUTO_LOAD_ENV_CREDS=true，通过 GOOGLE_CREDENTIALS 等环境变量直接提供,#    b) $id_32 AUTO_LOAD_ENV_CREDS=true$id_103 GOOGLE_CREDENTIALS $id_102
line_86,.env.example,174,#    c) 通过面板导入,#    c) $id_104
line_87,.env.example,176,# 3. 密码配置优先级:,# 3. $id_105:
line_88,.env.example,177,#    a) PASSWORD 环境变量 (最高优先级，设置后覆盖其他密码),#    a) PASSWORD $id_107 ($id_106)
line_89,.env.example,178,#    b) API_PASSWORD / PANEL_PASSWORD 环境变量 (专用密码),#    b) API_PASSWORD / PANEL_PASSWORD $id_107 ($id_108)
line_90,.env.example,179,#    c) config.toml 文件中的密码配置,#    c) config.toml $id_109
line_91,.env.example,180,"#    d) 默认值 ""pwd""","#    d) $id_110 ""pwd"""
line_92,.env.example,182,# 4. 通用配置优先级:,# 4. $id_111:
line_93,.env.example,183,#    环境变量 > config.toml 文件 > 默认值,#    $id_107 > config.toml $id_112 > $id_110
line_94,.env.example,185,# 5. 布尔值环境变量:,# 5. $id_113:
line_95,.env.example,186,#    true/1/yes/on 表示启用,#    true/1/yes/on $id_114
line_96,.env.example,187,#    false/0/no/off 表示禁用,#    false/0/no/off $id_115
line_97,.env.example,189,# 6. 模型功能说明:,# 6. $id_116:
line_98,.env.example,190,"#    - 基础模型: gemini-2.5-pro, gemini-2.5-flash 等","#    - $id_117: gemini-2.5-pro, gemini-2.5-flash $id_118"
line_99,.env.example,191,#    - 功能前缀:,#    - $id_119:
line_100,.env.example,192,"#      * ""假流式/"" - 使用假流式传输","#      * ""$id_121/"" - $id_120"
line_101,.env.example,193,"#      * ""流式抗截断/"" - 启用流式抗截断功能","#      * ""$id_80/"" - $id_122"
line_102,.env.example,194,#    - 功能后缀:,#    - $id_123:
line_103,.env.example,195,"#      * ""-maxthinking"" - 最大思考预算","#      * ""-maxthinking"" - $id_124"
line_104,.env.example,196,"#      * ""-nothinking"" - 禁用思考模式","#      * ""-nothinking"" - $id_125"
line_105,.env.example,197,"#      * ""-search"" - 启用 Google 搜索","#      * ""-search"" - $id_126 Google $id_127"
line_106,.env.example,199,# 7. 示例模型名称:,# 7. $id_128:
line_107,.env.example,201,#    - 假流式/gemini-2.5-pro-maxthinking,#    - $id_121/gemini-2.5-pro-maxthinking
line_108,.env.example,202,#    - 流式抗截断/gemini-2.5-flash-search,#    - $id_80/gemini-2.5-flash-search
line_109,.env.example,205,# 配置文件说明,# $id_129
line_110,.env.example,208,# 除了环境变量，你还可以使用 TOML 配置文件进行配置,# $id_130 TOML $id_131
line_111,.env.example,209,# 配置文件位置: {CREDENTIALS_DIR}/config.toml,# $id_132: {CREDENTIALS_DIR}/config.toml
line_112,.env.example,211,# # 密码配置,# # $id_10
line_113,.env.example,212,"# api_password = ""your_api_password""        # 聊天API密码","# api_password = ""your_api_password""        # $id_13API$id_133"
line_114,.env.example,213,"# panel_password = ""your_panel_password""    # 控制面板密码","# panel_password = ""your_panel_password""    # $id_134"
line_115,.env.example,214,"# password = ""your_common_password""         # 通用密码 (覆盖上述两个)","# password = ""your_common_password""         # $id_136 ($id_135)"
line_116,.env.example,216,# # 基础配置,# # $id_137
line_117,.github/ISSUE_TEMPLATE/bug_report.yml,1,name: Bug 报告,name: Bug $id_138
line_118,.github/ISSUE_TEMPLATE/bug_report.yml,2,description: 报告项目使用中遇到的问题,description: $id_139
line_119,.github/ISSUE_TEMPLATE/bug_report.yml,4,"labels: [""bug"", ""待处理""]","labels: [""bug"", ""$id_140""]"
line_120,.github/ISSUE_TEMPLATE/bug_report.yml,9,## 感谢你的反馈!,## $id_141!
